acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.16,0.88,0.4,-1.97,-0.53,0.53,32.34
0.16,0.89,0.4,-2.79,-0.66,0.17,32.39
0.16,0.88,0.39,-3.25,-0.43,0.4,32.34
0.16,0.88,0.41,-3.01,-0.41,0.24,32.44
0.16,0.87,0.4,-2.26,-0.29,0.38,32.39
0.16,0.88,0.4,-1.74,-0.7,0.06,32.34
0.17,0.88,0.4,-1.71,-1.28,-0.21,32.34
0.17,0.88,0.41,-1.8,-1.16,-0.14,32.39
0.16,0.88,0.41,-1.44,-0.76,0.23,32.34
0.16,0.87,0.4,-0.78,-0.21,0.84,32.34
0.16,0.88,0.4,-1.07,0.15,0.85,32.39
0.16,0.88,0.4,-2.12,-0.4,0.24,32.34
0.15,0.88,0.4,-2.23,-0.44,-0.02,32.34
0.15,0.88,0.41,-2.61,-0.27,-0.02,32.39
0.15,0.88,0.41,-2.18,-0.18,0.23,32.34
0.16,0.89,0.41,-1.92,-0.18,0.9,32.34
0.15,0.88,0.41,-1.98,-0.73,1.19,32.29
0.16,0.89,0.4,-2.03,-0.76,1.45,32.34
0.16,0.9,0.4,-2.31,-0.17,1.11,32.29
0.15,0.89,0.4,-2.95,0.26,0.66,32.29
0.16,0.88,0.41,-2.41,-0.05,0.89,32.44
0.16,0.88,0.4,-1.98,-0.15,0.92,32.39
0.16,0.88,0.4,-2.64,-0.2,0.49,32.39
0.16,0.88,0.4,-2.11,-0.05,0.44,32.44
0.16,0.89,0.4,-1.47,-0.29,0.09,32.48
0.16,0.88,0.41,-1.88,-0.96,-0.29,32.29
0.16,0.88,0.4,-2.44,-0.75,-0.14,32.39
0.16,0.88,0.41,-2.82,-0.18,-0.18,32.39
0.16,0.88,0.41,-2.2,-0.29,0.67,32.44
0.17,0.86,0.41,-1.34,-0.05,1.5,32.44
0.15,0.89,0.39,-1.08,-0.5,1.28,32.29
0.16,0.89,0.41,-1.95,-1.31,0.2,32.34
0.15,0.88,0.4,-2.26,-2.24,-0.26,32.29
0.16,0.87,0.4,-0.92,-1.8,0.08,32.39
0.17,0.87,0.41,0.06,-1.25,0.32,32.25
0.16,0.87,0.4,0.55,-2.35,0.85,32.34
0.16,0.87,0.41,1.42,-2.52,1.34,32.39
0.16,0.88,0.41,2.15,-2.17,1.07,32.34
0.17,0.88,0.4,2.63,-1.95,1.11,32.29
0.16,0.88,0.4,2.37,-2.55,0.63,32.39
0.16,0.88,0.41,2.5,-2.55,0.73,32.34
0.16,0.87,0.4,2.81,-2.08,1.15,32.29
0.16,0.88,0.4,3.39,-1.85,1.25,32.44
0.16,0.88,0.39,3.02,-2.34,0.66,32.44
0.17,0.89,0.39,2.2,-2.49,0.31,32.39
0.17,0.89,0.4,2.05,-2.2,0.46,32.44
0.17,0.88,0.4,2.08,-1.56,0.66,32.34
0.17,0.89,0.4,1.68,-1.42,0.96,32.39
0.16,0.88,0.39,1.63,-1.37,0.6,32.44
0.17,0.89,0.39,1.37,-1.04,0.9,32.29
0.17,0.89,0.39,1.44,-0.81,0.87,32.39
0.17,0.88,0.39,0.75,-1.01,0.76,32.34
0.16,0.88,0.39,1.04,-1.07,0.55,32.29
0.17,0.89,0.39,1.45,-1.15,0.89,32.39
0.16,0.89,0.39,1.73,-1.19,1.07,32.34
0.16,0.89,0.4,1.73,-1.59,1.1,32.48
0.16,0.89,0.4,2.21,-1.82,1.13,32.44
0.17,0.89,0.39,2.32,-1.63,1.25,32.39
0.17,0.89,0.39,2.69,-1.86,1.24,32.39
0.16,0.88,0.39,2.61,-2.24,1.44,32.34
0.17,0.89,0.39,2.95,-1.91,1.68,32.34
0.17,0.88,0.39,3.15,-1.68,1.85,32.39
0.17,0.89,0.38,2.69,-1.74,1.79,32.34
0.16,0.88,0.39,2.49,-1.56,1.8,32.29
0.17,0.89,0.38,2.17,-1.1,1.63,32.39
0.16,0.89,0.38,1.79,-0.78,1.45,32.34
0.16,0.89,0.39,1.53,-0.98,1.3,32.29
0.16,0.89,0.38,1.5,-1.1,1.21,32.44
0.16,0.89,0.39,1.01,-0.89,0.61,32.44
0.16,0.89,0.38,0.31,-0.7,0.43,32.39
0.17,0.89,0.38,0.27,-0.89,0.23,32.25
0.16,0.89,0.38,0.14,-0.72,0.27,32.34
0.17,0.89,0.38,0.61,-0.56,0.67,32.29
0.18,0.89,0.38,0.47,-0.43,0.32,32.34
0.17,0.89,0.38,0.2,-1.11,-0.08,32.39
0.17,0.89,0.38,0.11,-1.07,-0.24,32.39
0.18,0.89,0.39,0.53,-0.76,0.24,32.34
0.17,0.89,0.38,1.16,-1.13,0.56,32.39
0.17,0.89,0.37,0.95,-1.16,0.98,32.39
0.16,0.89,0.38,0.95,-0.58,1.34,32.25
0.16,0.89,0.38,1.08,-0.34,1.33,32.39
0.16,0.9,0.37,0.87,-0.7,0.82,32.44
0.17,0.89,0.38,0.47,-1.02,0.7,32.39
0.16,0.89,0.38,0.5,-0.66,1.02,32.39
0.16,0.89,0.38,0.78,-0.53,1.13,32.44
0.17,0.9,0.37,0.84,-0.66,0.69,32.34
0.17,0.89,0.38,0.89,-0.89,0.23,32.39
0.17,0.9,0.38,-0.09,-0.78,-0.18,32.34
0.17,0.89,0.37,-0.5,-0.84,0.17,32.39
0.17,0.89,0.37,-0.06,-0.27,0.75,32.39
0.17,0.89,0.38,0.79,-0.41,0.79,32.34
0.17,0.89,0.37,1.28,-0.9,0.32,32.39
0.17,0.9,0.38,1.4,-1.5,-0.31,32.39
0.17,0.89,0.37,1.39,-1.5,-0.64,32.34
0.17,0.89,0.37,1.3,-1.11,-0.03,32.39
0.17,0.89,0.37,2.21,-1.13,0.92,32.39
0.17,0.89,0.36,2.53,-1.48,1.47,32.34
0.17,0.9,0.37,2.55,-1.11,1.1,32.29
0.17,0.89,0.36,2.2,-1.05,0.2,32.39
0.17,0.9,0.38,1.86,-0.96,0.27,32.34
0.16,0.89,0.37,1.15,-1.18,0.2,32.39
0.17,0.9,0.37,0.79,-0.99,0.38,32.39
0.17,0.9,0.37,0.49,-0.73,-0.23,32.44
0.16,0.9,0.37,-0.11,-0.53,-0.18,32.39
0.16,0.9,0.36,0.14,-0.64,0.12,32.34
0.16,0.9,0.37,-0.21,-0.9,-0.41,32.34
0.16,0.9,0.37,-0.44,-0.75,-0.38,32.39
0.17,0.9,0.37,-0.17,-0.35,-0.38,32.25
0.17,0.89,0.37,-0.06,-0.67,-0.03,32.34
0.17,0.89,0.37,0.24,-0.85,-0.11,32.39
0.17,0.89,0.36,0.6,-0.84,0.09,32.34
0.17,0.9,0.37,1.47,-0.69,-0.06,32.25
0.17,0.9,0.36,1.4,-1.47,0.02,32.39
0.17,0.89,0.36,0.75,-1.66,0.0,32.34
0.17,0.9,0.36,-0.06,-0.85,0.35,32.34
0.16,0.9,0.36,0.32,-0.15,1.39,32.29
0.16,0.89,0.36,0.52,0.11,1.65,32.34
0.17,0.9,0.36,0.18,-0.63,1.16,32.39
0.16,0.9,0.36,-0.5,-0.89,0.2,32.39
0.17,0.91,0.36,-1.33,-0.9,-0.61,32.34
0.17,0.89,0.37,-0.43,-0.93,0.11,32.39
0.17,0.89,0.36,1.21,-1.36,1.44,32.39
0.17,0.9,0.37,1.71,-1.25,1.63,32.44
0.17,0.9,0.37,1.37,-0.73,0.99,32.39
0.17,0.89,0.36,1.54,-1.44,0.72,32.29
0.17,0.9,0.36,2.27,-1.97,1.01,32.39
0.17,0.89,0.36,2.41,-2.08,1.19,32.39
0.17,0.9,0.36,2.38,-1.34,1.21,32.25
0.17,0.9,0.36,2.12,-1.36,0.95,32.34
0.17,0.9,0.36,1.82,-1.3,0.53,32.29
0.17,0.9,0.36,1.15,-1.59,0.49,32.44
0.17,0.9,0.35,0.7,-1.04,0.38,32.29
0.17,0.9,0.36,0.2,-0.38,0.47,32.39
0.17,0.9,0.36,0.09,-0.32,0.38,32.34
0.17,0.91,0.36,-0.4,-0.41,0.58,32.34
0.18,0.91,0.35,-0.7,-0.4,0.23,32.29
0.17,0.9,0.36,-0.69,-0.35,0.4,32.34
0.17,0.9,0.36,-0.63,-0.21,0.2,32.29
0.17,0.9,0.36,-0.53,-0.29,0.4,32.39
0.17,0.89,0.35,-0.5,-0.47,0.72,32.34
0.17,0.9,0.36,-0.55,-0.63,0.35,32.39
0.17,0.9,0.35,-0.38,-0.92,0.4,32.29
0.17,0.9,0.35,-0.6,-0.55,0.61,32.34
0.17,0.9,0.36,-0.23,-0.55,0.55,32.39
0.17,0.9,0.36,0.06,-0.79,0.79,32.29
0.17,0.9,0.35,0.23,-0.7,0.73,32.34
0.17,0.9,0.36,0.09,-0.47,0.9,32.29
0.17,0.9,0.36,-0.27,-0.37,0.81,32.44
0.17,0.9,0.34,-0.34,-0.41,0.78,32.34
0.16,0.91,0.35,-0.24,-0.61,0.7,32.39
0.17,0.9,0.35,-0.47,-0.61,0.75,32.34
0.17,0.9,0.35,-0.72,-0.46,0.82,32.34
0.17,0.89,0.35,-0.52,-0.18,0.73,32.29
0.17,0.9,0.35,-1.21,-0.38,0.52,32.34
0.18,0.9,0.36,-1.3,-0.49,0.29,32.39
