acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.2,0.93,0.25,0.08,-0.85,0.11,32.34
0.2,0.93,0.24,0.37,-0.6,0.47,32.34
0.19,0.93,0.24,1.65,0.08,1.31,32.29
0.2,0.94,0.24,1.47,0.17,0.64,32.29
0.2,0.94,0.24,0.93,-0.56,-0.06,32.34
0.19,0.93,0.23,0.26,-0.61,-0.14,32.29
0.19,0.92,0.23,1.07,-0.47,1.19,32.34
0.19,0.93,0.25,2.06,-0.75,1.31,32.34
0.2,0.93,0.24,2.95,-2.12,1.07,32.29
0.21,0.94,0.24,1.07,-2.06,0.79,32.39
0.2,0.93,0.25,-0.43,-1.54,0.58,32.25
0.19,0.92,0.24,0.14,-1.16,1.45,32.29
0.2,0.93,0.24,0.99,-1.11,1.91,32.34
0.2,0.92,0.24,1.63,-1.02,2.31,32.34
0.2,0.94,0.23,1.02,-1.05,1.89,32.29
0.2,0.93,0.23,0.43,-0.78,0.67,32.29
0.2,0.92,0.24,1.4,-0.73,1.66,32.34
0.2,0.92,0.25,1.92,-0.7,2.47,32.29
0.22,0.93,0.24,1.8,-0.82,2.32,32.25
0.21,0.92,0.24,2.38,-0.78,2.79,32.34
0.21,0.92,0.23,2.66,-0.73,3.01,32.39
0.2,0.93,0.23,2.85,-0.6,3.02,32.39
0.21,0.94,0.23,2.08,-0.7,2.75,32.34
0.2,0.94,0.24,1.45,-0.87,2.35,32.39
0.2,0.93,0.23,1.45,-0.99,2.46,32.34
0.2,0.94,0.24,1.1,-0.56,1.85,32.34
0.2,0.93,0.23,1.1,-0.69,1.56,32.29
0.21,0.94,0.24,0.7,-0.56,1.59,32.29
0.2,0.94,0.22,-0.12,-0.79,1.22,32.34
0.2,0.94,0.23,-0.29,-0.73,1.02,32.29
0.21,0.94,0.24,-0.46,-0.49,0.66,32.25
0.21,0.93,0.23,-0.11,-0.15,1.18,32.25
0.21,0.94,0.23,-0.14,-0.27,1.05,32.29
0.21,0.93,0.23,0.41,-0.12,1.21,32.39
0.22,0.93,0.23,0.76,0.14,1.3,32.34
0.21,0.93,0.23,0.85,0.17,1.22,32.29
0.21,0.94,0.23,0.5,0.34,1.28,32.34
0.21,0.93,0.24,0.67,0.02,1.88,32.25
0.21,0.93,0.23,1.57,0.24,1.97,32.29
0.21,0.93,0.23,2.06,0.14,2.12,32.29
0.21,0.93,0.23,1.74,0.12,1.83,32.44
